학수번호,건물,강의실,시간,교과목,종류
0005061099,15,214,화(6)(7),대학영어회화2,교양
0005061100,15,215,화(6)(7),대학영어회화2,교양
0005061101,15,216,화(6)(7),대학영어회화2,교양
0005061102,15,217,화(6)(7),대학영어회화2,교양
0005061103,15,219,화(6)(7),대학영어회화2,교양
0005061104,15,220,화(6)(7),대학영어회화2,교양
0005061105,15,213,금(3)(4),대학영어회화2,교양
0005061106,15,214,금(3)(4),대학영어회화2,교양
0005061107,14,218,화(1)(2),대학영어회화2,교양
0005061108,14,218,화(3)(4),대학영어회화2,교양
0005061109,15,213,화(야1)(야2),대학영어회화2,교양
0005061110,15,213,수(야1)(야2),대학영어회화2,교양
0005061111,15,213,목(야1)(야2),대학영어회화2,교양
0001302001,NC,602,금(3)(4),교육학개론,교직
0001302002,NC,602,금(5)(6),교육학개론,교직
0007876001,NC,207,목(야1)(야2),국제개발협력과해외교육봉사,교직
0011526001,NC,602,수(야1),디지털교육,교직
0011526002,NC,602,수(야2),디지털교육,교직
YAA9014001,NC,602,수(6)(7),교육철학및교육사,교직
YAA9014002,NC,602,수(8)(9),교육철학및교육사,교직
0007877001,NC,207,월(2)(3),학교폭력예방및학생의이해,교직
0007877002,NC,207,월(4)(5),학교폭력예방및학생의이해,교직
0007877003,NC,207,월(6)(7),학교폭력예방및학생의이해,교직
0007877004,NC,602,화(7)(8),학교폭력예방및학생의이해,교직
YAA9011001,NC,602,목(2)(3),교육심리,교직
YAA9011002,NC,602,목(6)(7),교육심리,교직
YAA9015001,NC,205,월(4)(5),교육평가,교직
YAA9015002,NC,602,목(4)(5),교육평가,교직
0001342001,NC,306,월(8)(9),교직실무,교직
0001342002,NC,209,화(야1)(야2),교직실무,교직
0001342003,NC,210,화(야1)(야2),교직실무,교직
0001342004,NC,115,월(9)(야1),교직실무,교직
0001342005,NC,207,화(7)(8),교직실무,교직
0001342006,NC,208,월(8)(9),교직실무,교직
0001342007,NC,305,월(야1)(야2),교직실무,교직
0003632001,NC,205,월(2)(3),교육행정및교육경영,교직
0003632002,NC,208,목(3)(4),교육행정및교육경영,교직
0009809001,NC,205,수(8)(9),혁신교육의이해,교직
0009809002,NC,602,수(야3)(야4),혁신교육의이해,교직
0010499001,NC,306,수(1)(2),학교현장실습II,교직
0010500001,NC,208,목(2),학교현장실습I:교육현장컨설팅,교직
0010500002,NC,306,수(7),학교현장실습I:교육현장컨설팅,교직
0001331001,,,,교육봉사활동,교직
0001331002,,,,교육봉사활동,교직
0001331003,,,,교육봉사활동,교직
0001331004,,,,교육봉사활동,교직
0001331005,,,,교육봉사활동,교직
0001331006,,,,교육봉사활동,교직
0001331007,,,,교육봉사활동,교직
0001331008,,,,교육봉사활동,교직
0002757001,NA,208,화(야1)(야2),특수교육학개론,교직
0002757002,NC,602,목(야1)(야2),특수교육학개론,교직
0002757003,NC,208,수(1)(2),특수교육학개론,교직
0002760001,NC,602,화(4)(5),교육방법및교육공학,교직
0002760002,NC,207,수(6)(7),교육방법및교육공학,교직
0006743001,NC,602,금(야1)(야2),융합교육의 이론과 실제,교직
0007456001,NC,602,"목(야3)(야4),금(야3)(야4)",교육캡스톤디자인,교직
0000681001,ZZ,102,"월(1)(2)(3)(4)(5)(6)(7)(8)(9),화(1)(2)(3)(4)(5)(6)(7)(8)(9),수(1)(2)(3)(4)(5)(6)(7)(8)(9),목(1)(2)(3)(4)(5)(6)(7)(8)(9),금(1)(2)(3)(4)(5)(6)(7)(8)(9)",해외인턴십 1,일선
0000682001,ZZ,102,"월(1)(2)(3)(4)(5)(6)(7)(8)(9),화(1)(2)(3)(4)(5)(6)(7)(8)(9),수(1)(2)(3)(4)(5)(6)(7)(8)(9),목(1)(2)(3)(4)(5)(6)(7)(8)(9),금(1)(2)(3)(4)(5)(6)(7)(8)(9)",해외인턴십 2,일선
0004597001,11,208,화(7)(8),INU 리더십특강,일선
0005053001,9,509,수(7)(8)(9),아이디어와 창업,일선
0005402001,13,304,금(7)(8)(9),평생교육실습,일선
0005403001,9,509,월(7)(8)(9),성공창업전략,일선
0006102001,12,105,수(6)(7),공직사회의이해,일선
0006102002,12,105,수(8)(9),공직사회의이해,일선
0007048001,12,103,목(1)(2),NCS의 이해,일선
0007048002,12,103,목(3)(4),NCS의 이해,일선
0008586001,9,509,화(4)(5)(6),창업마케팅AtoZ,일선
0008588001,9,509,목(7)(8)(9),스타트업트랜드,일선
0008589001,9,509,월(4)(5)(6),생활속의창업특허,일선
0008591001,9,509,목(1)(2)(3),스타트업비즈니스매너,일선
0008594001,,,,창업실습2,일선
0008596001,,,,창업현장실습2,일선
0010525001,9,509,월(야1)(야2)(야3),창업프로젝트실습2,일선
0010525002,9,509,화(7)(8)(9),창업프로젝트실습2,일선
0010525003,ZZ,200,목(1)(2)(3),창업프로젝트실습2,일선
0010525004,7,407,목(7)(8)(9),창업프로젝트실습2,일선
0010624001,9,509,목(4)(5)(6),스타트업앱비즈니스모델,일선
0010625001,,,,외식창업마케팅,일선
0010627001,28,203,"월(야1)(야2)(야3),수(야1)(야2)(야3)",창업프로젝트실습4,일선
0011184001,13,218,목(7)(8)(9),해양경찰학개론,일선
WAA1009001,13,208,금(2)(3)(4),평생교육경영론,일선
WAA1010001,13,205,월(2)(3)(4),평생교육프로그램개발론,일선
WAA1011001,13,103,화(7)(8)(9),청소년교육개론,일선
0007049001,12,101,수(1)(2),핵심취업전략특강,일선
0007049002,12,101,수(3)(4),핵심취업전략특강,일선
0009313001,22,208,"화(1)(2)(3),금(5)(6)(7)",안전및조직관리사례연구,군사학
0009315001,22,206,"화(1)(2)(3),금(5)(6)(7)",조직리더십사례연구,군사학
VAB1002001,5,326,"월(7)(8),화(3)",파동광학,광전자공학전공(연계)
0010651001,5,326,"월(9),목(5)(6)",하이브리드재료광전자,광전자공학전공(연계)
0004291001,14,104,수(7-8A)(8B-9),물류와SCM의이해,물류학전공(연계)
0011601001,14,104,"월(5B-6),수(5B-6)",항만경영론,물류학전공(연계)
0011584001,13,204,"화(8B-9),수(8B-9)",에너지정치행정과지속가능성,국제개발협력연계전공
0011592001,28,402,화(4)(5)(6),디자인구현프로그래밍2,창의적디자인연계전공
0011592002,28,204,화(7)(8)(9),디자인구현프로그래밍2,창의적디자인연계전공
0011594001,28,402,목(1)(2)(3),디자인스타트업실무,창의적디자인연계전공
0011595001,28,403,수(2)(3)(4),재난모니터링영상,창의적디자인연계전공
0011597001,28,402,수(6)(7)(8),헬스케어디바이스디자인,창의적디자인연계전공
0008896001,5,421,"화(1-2A),수(4-5A)",화장품 기획 및 마케팅,뷰티산업연계전공
0010519001,15,101,목(4-5A)(5B-6),지역연계프로젝트,인문문화예술기획연계전공
0010521001,15,101,"수(1),목(7)(8)",문화자원의탐색,인문문화예술기획연계전공
0010656001,15,101,목(1-2A)(2B-3),문화콘텐츠산업론,인문문화예술기획연계전공
0009566001,13,103,월(2)(3)(4),미디어 빅데이터 분석,소셜데이터사이언스연계전공
0011252001,8,213,화(야1)(야2)(야3)(야4),FM프로젝트종합설계2,미래자동차연계전공
0011252002,8,213,월(야1)(야2)(야3)(야4),FM프로젝트종합설계2,미래자동차연계전공
0011253001,8,224,수(5)(6)(7),모델기반설계,미래자동차연계전공
0011254001,8,213,수(8)(9)(야1),모빌리티시뮬레이션,미래자동차연계전공
0011255001,8,213,목(야1)(야2)(야3)(야4),iPBL2,미래자동차연계전공
0011255002,8,224,수(야1)(야2)(야3)(야4),iPBL2,미래자동차연계전공
